ID,X,Y,Z,HDirection,HWidth,VTilt
248 , -1000.000000 , 692.820323 , 25.000000 , 180.000000 , 65.000000 , 0.000000
249 , -1100.000000 , 519.615243 , 25.000000 , 180.000000 , 65.000000 , 0.000000
250 , -1099.999998 , -519.615238 , 25.000000 , 180.000000 , 65.000000 , 0.000000
251 , -999.999998 , -692.820319 , 25.000000 , 180.000000 , 65.000000 , 0.000000
252 , -99.999998 , -1212.435561 , 25.000000 , 180.000000 , 65.000000 , 0.000000
253 , 100.000002 , -1212.435562 , 25.000000 , 180.000000 , 65.000000 , 0.000000
254 , 1000.000000 , -692.820323 , 25.000000 , 180.000000 , 65.000000 , 0.000000
255 , 1100.000000 , -519.615243 , 25.000000 , 180.000000 , 65.000000 , 0.000000
256 , 0.000000 , 0.000000 , 25.000000 , 300.000000 , 65.000000 , 0.000000
257 , 200.000000 , -0.000000 , 25.000000 , 300.000000 , 65.000000 , 0.000000
258 , 100.000000 , 173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
259 , -100.000000 , 173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
260 , -200.000000 , 0.000000 , 25.000000 , 300.000000 , 65.000000 , 0.000000
261 , -100.000000 , -173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
262 , 100.000000 , -173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
263 , 400.000000 , -0.000001 , 25.000000 , 300.000000 , 65.000000 , 0.000000
264 , 299.999999 , 173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
265 , 199.999999 , 346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
266 , -0.000001 , 346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
267 , -200.000000 , 346.410161 , 25.000000 , 300.000000 , 65.000000 , 0.000000
268 , -300.000000 , 173.205081 , 25.000000 , 300.000000 , 65.000000 , 0.000000
269 , -400.000000 , 0.000001 , 25.000000 , 300.000000 , 65.000000 , 0.000000
270 , -299.999999 , -173.205080 , 25.000000 , 300.000000 , 65.000000 , 0.000000
271 , -199.999999 , -346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
272 , 0.000001 , -346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
273 , 200.000000 , -346.410161 , 25.000000 , 300.000000 , 65.000000 , 0.000000
274 , 300.000000 , -173.205081 , 25.000000 , 300.000000 , 65.000000 , 0.000000
275 , 599.999999 , -0.000001 , 25.000000 , 300.000000 , 65.000000 , 0.000000
276 , 499.999999 , 173.205079 , 25.000000 , 300.000000 , 65.000000 , 0.000000
277 , 399.999999 , 346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
278 , 299.999999 , 519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
279 , 99.999999 , 519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
280 , -100.000001 , 519.615241 , 25.000000 , 300.000000 , 65.000000 , 0.000000
281 , -300.000001 , 519.615241 , 25.000000 , 300.000000 , 65.000000 , 0.000000
282 , -400.000000 , 346.410161 , 25.000000 , 300.000000 , 65.000000 , 0.000000
283 , -500.000000 , 173.205081 , 25.000000 , 300.000000 , 65.000000 , 0.000000
284 , -599.999999 , 0.000001 , 25.000000 , 300.000000 , 65.000000 , 0.000000
285 , -499.999999 , -173.205079 , 25.000000 , 300.000000 , 65.000000 , 0.000000
286 , -399.999999 , -346.410160 , 25.000000 , 300.000000 , 65.000000 , 0.000000
287 , -299.999999 , -519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
288 , -99.999999 , -519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
289 , 100.000001 , -519.615241 , 25.000000 , 300.000000 , 65.000000 , 0.000000
290 , 300.000001 , -519.615241 , 25.000000 , 300.000000 , 65.000000 , 0.000000
291 , 400.000000 , -346.410161 , 25.000000 , 300.000000 , 65.000000 , 0.000000
292 , 500.000000 , -173.205081 , 25.000000 , 300.000000 , 65.000000 , 0.000000
293 , 799.999999 , -0.000002 , 25.000000 , 300.000000 , 65.000000 , 0.000000
294 , 699.999999 , 173.205079 , 25.000000 , 300.000000 , 65.000000 , 0.000000
295 , 599.999999 , 346.410159 , 25.000000 , 300.000000 , 65.000000 , 0.000000
296 , 499.999998 , 519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
297 , 399.999998 , 692.820320 , 25.000000 , 300.000000 , 65.000000 , 0.000000
298 , 199.999998 , 692.820320 , 25.000000 , 300.000000 , 65.000000 , 0.000000
299 , -0.000001 , 692.820321 , 25.000000 , 300.000000 , 65.000000 , 0.000000
300 , -200.000001 , 692.820321 , 25.000000 , 300.000000 , 65.000000 , 0.000000
301 , -400.000001 , 692.820322 , 25.000000 , 300.000000 , 65.000000 , 0.000000
302 , -500.000000 , 519.615242 , 25.000000 , 300.000000 , 65.000000 , 0.000000
303 , -600.000000 , 346.410162 , 25.000000 , 300.000000 , 65.000000 , 0.000000
304 , -700.000000 , 173.205082 , 25.000000 , 300.000000 , 65.000000 , 0.000000
305 , -799.999999 , 0.000002 , 25.000000 , 300.000000 , 65.000000 , 0.000000
306 , -699.999999 , -173.205079 , 25.000000 , 300.000000 , 65.000000 , 0.000000
307 , -599.999999 , -346.410159 , 25.000000 , 300.000000 , 65.000000 , 0.000000
308 , -499.999998 , -519.615240 , 25.000000 , 300.000000 , 65.000000 , 0.000000
309 , -399.999998 , -692.820320 , 25.000000 , 300.000000 , 65.000000 , 0.000000
310 , -199.999998 , -692.820320 , 25.000000 , 300.000000 , 65.000000 , 0.000000
311 , 0.000001 , -692.820321 , 25.000000 , 300.000000 , 65.000000 , 0.000000
312 , 200.000001 , -692.820321 , 25.000000 , 300.000000 , 65.000000 , 0.000000
313 , 400.000001 , -692.820322 , 25.000000 , 300.000000 , 65.000000 , 0.000000
