ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
658,231.794756,389.158247,1.500000,0,1,58.228477,9
659,176.283077,286.402661,7.500000,1,0,66.855384,9
660,165.179596,305.738883,1.500000,0,1,58.471046,9
661,174.158739,270.264187,10.500000,1,0,81.708200,9
662,168.886828,429.387571,1.500000,0,1,91.681678,9
663,162.678926,362.790020,7.500000,1,0,44.355522,9
664,113.903494,283.246315,4.500000,1,0,108.731456,9
665,131.941296,285.916793,1.500000,0,1,94.040867,9
666,215.889430,373.850172,1.500000,0,1,39.467433,9
667,255.687402,357.168801,19.500000,1,0,56.983201,9
668,268.435122,318.580014,22.500000,1,0,73.919775,9
669,278.292917,277.072744,1.500000,0,1,107.190056,9
670,201.337407,399.056002,16.500000,1,0,53.344384,9
671,124.033672,357.177334,10.500000,1,0,78.083705,9
672,211.292574,309.360327,7.500000,1,0,42.502498,9
673,187.784874,308.098703,1.500000,1,0,46.574961,9
674,246.626231,271.551337,10.500000,1,0,89.376165,9
675,201.823218,428.241496,10.500000,1,0,83.126059,9
676,244.370587,363.714825,22.500000,1,0,47.691199,9
677,201.642414,437.052854,1.500000,1,0,93.653860,9
678,268.015027,355.959839,7.500000,1,0,70.876586,9
679,259.465549,313.941882,13.500000,1,0,68.721108,9
680,145.551202,322.376483,1.500000,0,1,63.988586,9
681,143.074549,264.517109,1.500000,0,1,102.465743,9
682,219.903606,422.129111,13.500000,1,0,79.131303,9
683,240.577311,375.263256,7.500000,1,0,52.775651,9
684,52.290064,346.672292,1.500000,0,1,57.328610,10
685,19.322260,307.929409,10.500000,1,0,45.435316,10
686,-42.894784,388.494648,1.500000,1,0,64.523768,10
687,5.036372,381.915282,4.500000,1,0,41.306522,10
688,-48.947697,389.841152,7.500000,1,0,67.737567,10
689,19.997367,363.088598,10.500000,1,0,29.804614,10
690,34.561780,352.411093,1.500000,0,1,42.222954,10
691,-16.624932,448.687718,16.500000,1,0,103.967963,10
692,38.906234,299.397695,7.500000,1,0,63.483202,10
693,-4.054507,294.666100,1.500000,1,0,56.974879,10
694,-40.698352,406.560462,4.500000,1,0,75.463002,10
695,29.980872,438.290347,4.500000,1,0,98.798135,10
696,-86.681048,304.684013,7.500000,1,0,97.779984,10
697,-6.119658,297.645096,16.500000,1,0,49.877166,10
698,-22.353112,379.599353,7.500000,1,0,43.674181,10
699,28.024771,266.129700,13.500000,1,0,85.805537,10
700,31.663191,314.187518,10.500000,1,0,47.445826,10
701,13.666807,417.653766,1.500000,1,0,76.254069,10
702,-15.574555,399.144447,13.500000,1,0,56.175811,10
703,-36.785621,417.392381,4.500000,1,0,82.534281,10
704,72.212976,343.342461,16.500000,1,0,72.776197,10
705,-3.368537,306.055373,1.500000,0,1,46.819931,10
706,-87.169820,398.957538,7.500000,1,0,103.276591,10
707,-74.846967,333.883540,16.500000,1,0,76.362520,10
708,87.250015,346.215797,1.500000,0,1,90.359576,10
709,-14.793744,403.881655,1.500000,1,0,63.828501,10
710,-20.612487,338.036755,1.500000,0,1,32.361065,10
711,54.774368,425.580911,7.500000,1,0,97.849318,10
712,38.300337,415.694414,16.500000,1,0,79.620811,10
713,37.891419,407.439460,1.500000,1,0,75.581645,10
714,-208.333051,317.600481,10.500000,1,0,33.311971,11
715,-189.006964,304.143004,10.500000,1,0,46.017490,11
716,-193.149539,375.892268,10.500000,1,0,33.561488,11
717,-291.366231,288.687000,16.500000,1,0,108.406648,11
718,-203.743061,285.601188,1.500000,1,0,65.299247,11
719,-109.149540,354.133162,10.500000,1,0,92.323891,11
720,-150.785498,416.811960,7.500000,1,0,87.662595,11
721,-166.735979,254.955680,10.500000,1,0,98.390381,11
722,-148.984861,355.887703,4.500000,1,0,55.790843,11
723,-158.718590,433.144262,7.500000,1,0,97.638154,11
724,-187.055778,413.815001,19.500000,1,0,68.856484,11
725,-249.341918,366.147883,4.500000,1,0,56.960095,11
726,-251.306762,271.406251,7.500000,1,0,92.543072,11
727,-133.576982,337.185063,4.500000,1,0,70.123961,11
728,-149.344091,410.258727,4.500000,1,0,84.041124,11
729,-282.184466,359.611762,19.500000,1,0,83.419534,11
730,-170.202136,335.218921,16.500000,1,0,32.945510,11
731,-132.617808,350.165231,1.500000,1,0,71.461251,11
732,-141.006810,346.033964,1.500000,0,1,63.502662,11
733,-186.441275,445.277139,4.500000,1,0,101.876240,11
734,-138.723364,281.854587,1.500000,1,0,92.057038,11
735,-165.710815,421.899652,1.500000,1,0,86.178080,11
736,-221.893238,266.014065,4.500000,1,0,85.808485,11
737,-154.185625,270.732716,10.500000,1,0,89.645316,11
738,-235.506744,360.971067,10.500000,1,0,41.024369,11
739,-192.294027,418.038777,1.500000,0,1,75.777904,11
740,-227.071489,401.177508,4.500000,1,0,64.440498,11
741,-251.174005,317.385067,1.500000,1,0,63.352070,11
742,-232.255949,349.597437,7.500000,1,0,36.835512,11
743,-177.536171,411.238788,4.500000,1,0,71.607434,11
744,-265.233127,136.733864,1.500000,1,0,55.597977,12
745,-280.906131,105.600636,7.500000,1,0,72.396041,12
746,-341.067134,200.815005,4.500000,1,0,53.563677,12
747,-307.233793,264.629731,7.500000,1,0,93.365114,12
748,-365.098331,179.234806,13.500000,1,0,66.380723,12
749,-391.355477,187.289855,1.500000,1,0,95.375333,12
750,-306.754903,279.912583,7.500000,1,0,108.343757,12
751,-277.814922,244.003119,19.500000,1,0,74.396169,12
752,-361.893666,195.354894,1.500000,0,1,69.811819,12
753,-336.423097,206.253523,10.500000,1,0,51.274668,12
754,-336.370989,128.933237,13.500000,1,0,58.438814,12
755,-310.643885,111.582541,4.500000,1,0,65.809419,12
756,-256.164496,131.270065,7.500000,1,0,63.137524,12
757,-311.617456,276.565759,4.500000,1,0,106.012476,12
758,-217.531113,112.781981,1.500000,1,0,104.901469,12
759,-337.512027,182.429224,10.500000,1,0,41.261204,12
760,-318.826717,234.466093,1.500000,0,1,68.261313,12
761,-355.671652,96.780744,16.500000,1,0,94.932935,12
762,-335.788967,110.110066,10.500000,1,0,73.973516,12
763,-203.052897,231.126913,13.500000,1,0,113.516208,12
764,-235.206800,146.617921,7.500000,1,0,72.189236,12
765,-395.706778,214.732595,4.500000,1,0,106.322960,12
766,-295.493490,235.483608,16.500000,1,0,63.017249,12
767,-230.891951,131.742711,10.500000,1,0,81.885900,12
768,-374.725834,167.350595,1.500000,1,0,78.552373,12
769,-281.488552,162.535543,10.500000,1,0,25.821749,12
770,-273.742434,124.866363,7.500000,1,0,57.726436,12
771,-358.728845,192.530382,4.500000,1,0,65.136737,12
772,-285.922390,78.983294,7.500000,1,0,96.861624,12
773,-388.400378,122.764613,19.500000,1,0,101.927021,12
774,-456.709835,-8.133586,7.500000,1,0,59.903344,13
775,-397.621054,-84.574214,4.500000,1,0,87.055770,13
776,-301.067399,0.138136,1.500000,0,1,101.685439,13
777,-429.982304,-19.637349,7.500000,1,0,39.885010,13
778,-422.354697,-23.463685,1.500000,0,1,40.031576,13
779,-328.966000,59.639847,1.500000,1,0,95.681714,13
780,-447.436966,-81.216976,13.500000,1,0,94.756072,13
781,-314.887265,6.982339,4.500000,1,0,87.824715,13
782,-303.616930,-5.103294,1.500000,0,1,99.337756,13
783,-461.874115,8.540376,7.500000,1,0,64.865971,13
784,-426.467889,-71.197927,4.500000,1,0,78.676197,13
785,-346.714467,-13.757437,7.500000,1,0,57.748290,13
786,-459.852101,51.409943,19.500000,1,0,79.091758,13
787,-437.633102,-83.022241,4.500000,1,0,93.430150,13
788,-369.169420,86.631020,13.500000,1,0,92.669888,13
789,-408.933952,-105.803809,10.500000,1,0,107.165814,13
790,-358.158232,-42.616543,13.500000,1,0,60.820665,13
791,-433.676706,43.363828,22.500000,1,0,54.961733,13
